enabled,firstname,lastname,knownas_name,bornyear,diedyear,code
N,Girolamo Alessandro,Frescobaldi,Girolamo Frescobaldi,1583,1643,frescobaldi_g
N,Giovanni Pierluigi,da Palestrina,Palestrina,1525,1594,palestrina
N,Claudio Giovanni Antonio,Monteverdi,Claudio Monteverdi,1567,1643,monteverdi_c
N,Jean-Baptiste,Lully,Jean-Baptiste Lully,1632,1687,lully_j_b
N,Dieterich,Buxtehude,Dieterich Buxtehude,1637,1707,buxtehude_d
N,Henry,Purcell,Henry Purcell,1659,1695,purcell_h
N,Johann Sebastian,Bach,Johann Sebastian Bach,1685,1750,bach_j_s
N,Johann,Pachelbel,Johann Pachelbel,1653,1706,pachelbel_j
N,Johann Jacob,Froberger,Johann Jacob Froberger,1616,1667,froberger_j_j
N,George Frideric,Handel,George Frideric Handel,1685,1759,handel_g_f
N,Giuseppe Domenico,Scarlatti,Domenico Scarlatti,1685,1757,scarlatti_d
N,Pietro Alessandro Gaspare,Scarlatti,Alessandro Scarlatti,1660,1725,scarlatti_a
N,François,Couperin,François Couperin,1668,1733,couperin_f
N,Georg Philipp,Telemann,Georg Philipp Telemann,1681,1767,telemann_g_p
N,Jean-Philippe Rameau,Rameau,Jean-Philippe Rameau,1683,1764,rameau_j_p
N,Antonio Lucio,Vivaldi,Antonio Vivaldi,1678,1741,vivaldi_a
N,Wolfgang Amadeus,Mozart,Wolfgang Amadeus Mozart,1756,1791,mozart_w_a
N,Ludwig,Beethoven,Ludwig van Beethoven,1770,1827,beethoven_l_van
N,Carl Philipp Emanuel,Bach,Carl Philipp Emanuel Bach,1714,1788,bach_c_p_e
N,Franz Joseph,Haydn,Joseph Haydn,1732,1809,haydn_j
N,Johann Christian,Bach,Johann Christian Bach,1735,1782,bach_j_c
N,Franz Peter,Schubert,Franz Schubert,1797,1828,schubert_f
N,Gioachino Antonio,Rossini,Gioachino Rossini,1792,1868,rossini_g
N,Domenico Gaetano Maria,Donizetti,Gaetano Donizetti,1797,1848,donizetti_g
N,Jakob Ludwig Felix,Mendelssohn Bartholdy,Felix Mendelssohn,1809,1847,mendelssohn_f
N,Frédéric François,Chopin,Frédéric Chopin,1810,1849,chopin_f
N,Robert,Schumann,Robert Schumann,1810,1856,schumann_r
